Rain	Eto	Tmin	T	Tmax	CO2	Radiation	
0	3.9	5	13	21	408.45	21.45
0	3.2	8	13.5	19	408.45	17.78
0	3.6	6	13	20	408.45	20.06
0.3	3.5	9	15	21	408.45	18.58
0	3.7	7	14	21	408.45	20.07
0	4	4	12.5	21	408.45	22.12
0	4.1	7	15	23	408.45	21.47
0	4.2	4	13	22	408.45	22.78
0	4.2	4	13	22	408.45	22.79
0	3.3	7	13	19	408.45	18.61
0	3.6	4	11.5	19	408.45	20.82
0	3.8	6	13.5	21	408.45	20.83
0	4.2	4	13	22	408.45	22.84
0	4.2	2	11.5	21	408.45	23.48
0	4	6	14	22	408.65	21.56
0	3.9	6	13.5	21	408.65	20.9
0	3.2	7	12.5	18	408.65	17.91
0	3.9	6	13.5	21	408.65	20.93
7.1	4.6	2	12.5	23	408.65	24.79
0	3.7	8	14.5	21	408.65	19.53
0	3.7	8	14.5	21	408.65	19.55
0	3.7	6	13	20	408.65	20.31
0	3.7	8	14.5	21	408.65	19.59
0	2.9	11	15	19	408.65	15.39
0	3.4	9	14.5	20	408.65	18.07
0	3.7	6	13	20	408.65	20.41
0	3.2	9	14	19	408.65	17.28
0	2.8	10	14	18	408.65	15.47
0	3.7	8	14.5	21	408.65	19.75
0	3.3	8	13.5	19	408.65	18.2
0.5	3.9	8	15	22	408.65	20.56
0	3.5	8	14	20	408.65	19.07
0	3.5	10	15.5	21	408.65	18.29
0	3.4	9	14.5	20	408.65	18.32
0	3.7	6	13	20	408.65	20.7
0	3.2	9	14	19	408.65	17.52
0	2.9	11	15	19	408.65	15.7
0	4.1	9	16	23	408.65	20.8
0.8	4.2	8	15.5	23	408.65	21.57
0	4.5	7	15.5	24	408.65	23.01
0	3.9	7	14	21	408.65	20.92
11.9	3.8	8	14.5	21	408.65	20.19
0	3.3	10	15	20	408.65	17.74
0	4.2	4	12.5	21	408.65	23.18
3	3.4	6	12	18	408.65	19.51
3	3.7	11	16.5	22	408.72	18.71
0	3.8	10	16	22	408.72	19.58
0	4.3	7	15	23	408.72	22.65
2	4	6	13.5	21	408.72	21.97
0.3	2.9	10	14	18	408.72	16.08
0	3.5	7	13	19	408.72	19.73
0.3	3.4	10	15	20	408.72	18.04
0.5	3.7	11	16.5	22	408.72	18.96
0	3.6	10	15.5	21	408.72	19
0	4.4	5	13.5	22	408.72	23.66
0	4.1	8	15	22	408.72	21.51
7.1	4.5	6	14.5	23	408.72	23.75
6.1	4.6	5	14	23	408.72	24.48
0	3.9	8	14.5	21	408.72	20.84
0	4.8	5	14.5	24	408.72	25.24
0	3.9	10	16	22	408.72	20.09
0	4	9	15.5	22	408.72	20.95
15	3.2	12	16	20	408.72	16.46
5.1	3.7	10	15.5	21	408.72	19.34
0	3.4	12	16.5	21	408.72	17.52
0	3.8	9	15	21	408.72	20.27
11.9	5	6	15.5	25	408.72	25.54
16	4.4	8	15.5	23	408.72	22.73
0.5	2.9	12	15.5	19	408.72	15.55
2	4	11	17	23	408.72	20.39
0	3.2	9	13.5	18	408.72	17.69
0.8	3.4	11	15.5	20	408.72	17.71
0	3.7	10	15.5	21	408.72	19.61
0.5	4	10	16	22	408.94	20.51
0	3.5	10	15	20	408.94	18.75
0	3.3	10	14.5	19	408.94	17.81
39.1	3.9	9	15	21	408.94	20.59
0	3.9	9	15	21	408.94	20.61
2	4	10	16	22	408.94	20.64
0	3.3	10	14.5	19	408.94	17.89
0	3.4	9	14	19	408.94	18.88
0.3	3.9	11	16.5	22	408.94	19.82
0	3.4	11	15.5	20	408.94	17.95
0	3.2	12	16	20	408.94	16.94
0	3	12	15.5	19	408.94	15.86
21.1	3.2	12	16	20	408.94	16.97
0	3.5	12	16.5	21	408.94	18.01
0	3.7	12	17	22	408.94	19
0	3.6	10	15	20	408.94	19.01
0	3.3	12	16	20	408.94	17.01
5.1	3.7	11	16	21	408.94	19.03
19	3	12	15.5	19	408.94	15.93
4.1	2.5	12	14.5	17	408.94	13.47
19	3.4	11	15.5	20	408.94	18.08
0	3.4	11	15.5	20	408.94	18.09
0	3	12	15.5	19	408.94	15.96
0	3.3	10	14.5	19	408.94	18.1
0	4.3	8	15	22	408.94	22.58
0	4	10	16	22	408.94	20.91
0	3.9	9	15	21	408.94	20.91
0	3.8	10	15.5	21	408.94	20.02
19	3.3	12	16	20	408.94	17.07
0	2.7	12	15	18	408.94	14.79
0	3.7	11	16	21	408.94	19.09
23.1	3.8	10	15.5	21	409.22	20.01
5.1	2.7	11	14	17	409.22	14.78
0.3	3.6	10	15	20	409.22	19.07
0.5	3.3	12	16	20	409.22	17.06
0	3.3	13	17	21	409.22	17.05
0	3.6	13	17.5	22	409.22	18.08
0.3	3.5	12	16.5	21	409.22	18.07
2	4	10	16	22	409.22	20.86
3	3.2	11	15	19	409.22	17.02
0.5	3.6	10	15	20	409.22	19.02
2	3.4	11	15.5	20	409.22	18.03
0	3.4	11	15.5	20	409.22	18.02
0	3.8	10	15.5	21	409.22	19.91
17	5.1	9	17.5	26	409.22	24.73
2	3.4	11	15.5	20	409.22	17.98
0	3.4	11	15.5	20	409.22	17.96
0	3.3	10	14.5	19	409.22	17.95
0.3	2.7	12	15	18	409.22	14.64
4.1	3.9	9	15	21	409.22	20.69
4.1	3.2	12	16	20	409.22	16.88
15	3	12	15.5	19	409.22	15.77
